Vgate,	 Vdrain,	 Idrain,	 IdrainPerWg,	 gm,	 gmPerWg,
5.9	10	0.000226698	2.27E-05	-4.24E-06	-4.24E-07
6	10	0.000226479	2.26E-05	-3.50E-07	-3.50E-08
6.1	10	0.000226628	2.27E-05	1.91E-06	1.91E-07
6.2	10	0.000226862	2.27E-05	2.40E-07	2.40E-08
6.3	10	0.000226676	2.27E-05	3.45E-07	3.45E-08
6.4	10	0.000226931	2.27E-05	-4.45E-07	-4.45E-08
6.5	10	0.000226587	2.27E-05	-7.65E-07	-7.65E-08
6.6	10	0.000226778	2.27E-05	2.07E-06	2.07E-07
6.7	10	0.000227001	2.27E-05	3.40E-07	3.40E-08
6.8	10	0.000226846	2.27E-05	-2.78E-06	-2.78E-07
6.9	10	0.000226445	2.26E-05	-2.53E-06	-2.53E-07
7	10	0.00022634	2.26E-05	-2.30E-07	-2.30E-08
7.1	10	0.000226399	2.26E-05	-2.50E-07	-2.50E-08
7.2	10	0.00022629	2.26E-05	-8.00E-08	-8.00E-09
7.3	10	0.000226383	2.26E-05	4.00E-06	4.00E-07
7.4	10	0.000227089	2.27E-05	2.67E-06	2.67E-07
7.5	10	0.000226916	2.27E-05	-2.82E-06	-2.82E-07
7.6	10	0.000226526	2.27E-05	-1.09E-06	-1.09E-07
7.7	10	0.000226698	2.27E-05	8.50E-07	8.50E-08
7.8	10	0.000226696	2.27E-05	3.78E-06	3.78E-07
7.9	10	0.000227454	2.27E-05	4.04E-06	4.05E-07
8	10	0.000227505	2.28E-05	1.05E-06	1.05E-07
8.1	10	0.000227663	2.28E-05	-7.50E-08	-7.50E-09
8.2	10	0.00022749	2.27E-05	-6.25E-07	-6.25E-08
8.3	10	0.000227538	2.28E-05	2.06E-06	2.06E-07
8.4	10	0.000227903	2.28E-05	3.15E-06	3.15E-07
8.5	10	0.000228167	2.28E-05	-3.71E-06	-3.71E-07
8.6	10	0.000227161	2.27E-05	-3.26E-06	-3.26E-07
8.7	10	0.000227516	2.28E-05	2.02E-06	2.02E-07
8.8	10	0.000227565	2.28E-05	-1.71E-06	-1.71E-07
8.9	10	0.000227175	2.27E-05	-1.97E-06	-1.97E-07
9	10	0.000227171	2.27E-05	-2.34E-06	-2.34E-07
9.1	10	0.000226707	2.27E-05	-2.78E-06	-2.77E-07
9.2	10	0.000226616	2.27E-05	-3.11E-06	-3.11E-07
9.3	10	0.000226085	2.26E-05	-3.65E-06	-3.66E-07
9.4	10	0.000225885	2.26E-05	-1.96E-06	-1.96E-07
9.5	10	0.000225693	2.26E-05	-9.95E-07	-9.95E-08
9.6	10	0.000225686	2.26E-05	-1.02E-06	-1.02E-07
9.7	10	0.000225489	2.25E-05	8.00E-07	8.00E-08
9.8	10	0.000225846	2.26E-05	3.08E-06	3.08E-07
9.9	10	0.000226105	2.26E-05	2.16E-06	2.16E-07
10	10	0.000226277	2.26E-05	1.72E-06	1.72E-07
